category,cost,cuisine,featured,location,names,rating,reviews,urls
Casual Dining,"Rs. 1,000","North Indian,Chinese,Seafood,Mughlai,Italian,Continental",,Tardeo,"Gold Coins Restaurant
                                    ","4.1,4.0",,https://www.zomato.com/mumbai/gold-coins-restaurant-tardeo
Quick Bites,Rs. 500,North Indian,"
                                                                                        10% off on all orders above ₹100
                                        ","Oshiwara, Andheri West","Chholay
                                    ","4.2,3.9",,https://www.zomato.com/mumbai/chholay-oshiwara
Casual Dining,"Rs. 2,000","North Indian,Mughlai,Fast Food,Seafood,Chinese,Desserts,Beverages",For The Family,"Andheri Lokhandwala, Andheri West","Mulk
                                    ","4.3,3.9",,https://www.zomato.com/mumbai/mulk-andheri-lokhandwala
,Rs. 200,Street Food,,Dombivali East,"Thakur Vada Pav
                                    ",4.1,(408 Reviews),https://www.zomato.com/mumbai/thakur-vada-pav-1-dombivali-east-thane
Quick Bites,Rs. 300,"Fast Food,Sandwich,Pizza,Burger",,Chakala,"Om Snacks
                                    ",4.1,"(4,361 Reviews)",https://www.zomato.com/mumbai/om-snacks-1-chakala
"Café,Bakery","Rs. 1,600","Cafe,Bakery,Desserts","Sweet Tooth,Custom Bakes","JW Marriott Mumbai Juhu, Juhu","Bombay Baking Company - JW Marriott Mumbai Juhu
                                    ",4.1,(503 Reviews),https://www.zomato.com/mumbai/bombay-baking-company-jw-marriott-mumbai-juhu-juhu
,Rs. 150,Lebanese,,Dombivali East,"Ak's Shawarma Hub
                                    ",4.1,(97 Reviews),https://www.zomato.com/mumbai/aks-shawarma-hub-dombivali-east-thane
Casual Dining,Rs. 700,Chinese,,Marol,"Uncle's Chinese Corner
                                    ",4.1,(689 Reviews),https://www.zomato.com/mumbai/uncles-chinese-corner-marol
,Rs. 700,"Chinese,Seafood,Asian",Just Delivery,Powai,"Peco Peco
                                    ",4.1,"(6,337 Reviews)",https://www.zomato.com/mumbai/peco-peco-powai
"Lounge,Bar","Rs. 2,500",Finger Food,,"Taj Santacruz, Santacruz East","Tiqri Bar & Lounge - Taj Santacruz
                                    ",4.1,(208 Reviews),https://www.zomato.com/mumbai/tiqri-bar-lounge-taj-santacruz-vile-parle-east
Casual Dining,"Rs. 1,000","North Indian,Chinese",,"Majiwada, Thane West","Utsav Restaurant
                                    ",4.1,(738 Reviews),https://www.zomato.com/mumbai/utsav-restaurant-1-majiwada-thane-west
"Casual Dining,Bar","Rs. 1,100","Continental,North Indian,Chinese",,Dadar Shivaji Park,"Open House Cafe And Bar
                                    ","4.1,4.0",,https://www.zomato.com/mumbai/open-house-cafe-and-bar-dadar-shivaji-park
Quick Bites,Rs. 800,"Salad,Sandwich,Burger,Italian,Beverages",Irresistible Food,Vile Parle East,"En'creo
                                    ","4.2,4.0",,https://www.zomato.com/mumbai/encreo-1-vile-parle-east
Casual Dining,Rs. 400,Chinese,,Vashi,"Lakeside Chinese Corner
                                    ",4.1,(405 Reviews),https://www.zomato.com/mumbai/lakeside-chinese-corner-vashi-navi-mumbai
Casual Dining,"Rs. 1,400","North Indian,Chinese,Seafood,Continental,Biryani,Kebab,Desserts",,Kandivali East,"The Avenue
                                    ","4.1,4.1",,https://www.zomato.com/mumbai/the-avenue-kandivali-east
